Date,AAPL,AMZN,GOOGL,JPM,META,MSFT,NVDA,PG,UNH,XOM
2012-01-03,12.321687698364258,8.951499938964844,16.527029037475586,23.79610824584961,,20.917694091796875,0.3218088746070862,44.386600494384766,41.189964294433594,49.20568084716797
2012-01-04,12.38790225982666,8.875499725341797,16.598312377929688,23.94684410095215,,21.40996742248535,0.3254762589931488,44.366668701171875,41.78993225097656,49.217124938964844
2012-01-05,12.525433540344238,8.880499839782715,16.36806869506836,24.447019577026367,,21.62875747680664,0.3371657729148865,44.180702209472656,42.06990432739258,49.068355560302734
2012-01-06,12.65637493133545,9.130499839782715,16.14478302001953,24.227758407592773,,21.96474838256836,0.33326929807662964,44.07443618774414,42.22190856933594,48.702186584472656
2012-01-09,12.636299133300781,8.928000450134277,15.4602632522583,24.18665313720703,,21.675636291503906,0.33326929807662964,44.26039505004883,42.17390823364258,48.919593811035156
2012-01-10,12.681541442871094,8.967000007629395,15.477152824401855,24.700529098510742,,21.753774642944336,0.3318941593170166,44.05452346801758,42.09391403198242,49.045475006103516
2012-01-11,12.660865783691406,8.944999694824219,15.547194480895996,25.118488311767578,,21.660011291503906,0.3252469003200531,43.622802734375,42.40591049194336,48.67928695678711
2012-01-12,12.626108169555664,8.796500205993652,15.638595581054688,25.248672485351562,,21.878795623779297,0.3231840133666992,43.70915222167969,42.29389953613281,48.484771728515625
2012-01-13,12.578771591186523,8.920999526977539,15.523102760314941,24.61146354675293,,22.074140548706055,0.31470340490341187,43.70915222167969,42.15791702270508,48.56485366821289
2012-01-17,12.725289344787598,9.083000183105469,15.612268447875977,23.919431686401367,,22.08196258544922,0.3098900318145752,44.00801467895508,42.853858947753906,49.028316497802734
2012-01-18,12.857425689697266,9.472000122070312,15.71981430053711,25.0362606048584,,22.058513641357422,0.3204335570335388,44.205509185791016,43.14985656738281,49.46315383911133
2012-01-19,12.816676139831543,9.72249984741211,15.885231018066406,25.303485870361328,,21.972558975219727,0.3289143741130829,44.23899841308594,41.85393142700195,49.79500198364258
2012-01-20,12.593453407287598,9.546500205993652,14.554445266723633,25.598114013671875,,23.2149600982666,0.32593461871147156,44.339412689208984,41.81392288208008,50.058204650878906
2012-01-23,12.806490898132324,9.304499626159668,14.54277229309082,25.803659439086914,,23.2305965423584,0.33487385511398315,43.51594924926758,41.94192886352539,50.0467414855957
2012-01-24,12.596747398376465,9.350000381469727,14.428770065307617,25.803659439086914,,22.925859451293945,0.3424375355243683,43.18122863769531,41.061973571777344,49.88084030151367
2012-01-25,13.383275985717773,9.390000343322754,14.14462947845459,25.762550354003906,,23.09775733947754,0.34037476778030396,43.502559661865234,41.25395584106445,49.903709411621094
2012-01-26,13.32244873046875,9.666000366210938,14.11010456085205,25.687179565429688,,23.050874710083008,0.3371657729148865,43.382049560546875,40.27800750732422,49.64625549316406
2012-01-27,13.401854515075684,9.768500328063965,14.405171394348145,25.495332717895508,,22.839893341064453,0.34174999594688416,43.047325134277344,40.81398010253906,49.108428955078125
2012-01-30,13.573540687561035,9.607500076293945,14.348296165466309,25.358293533325195,,23.13683319091797,0.33922871947288513,42.317596435546875,40.85398864746094,48.91387176513672
2012-01-31,13.677509307861328,9.722000122070312,14.40839958190918,25.557004928588867,,23.07431983947754,0.33854106068611145,42.20378112792969,41.42995834350586,47.91261291503906
2012-02-01,13.6688232421875,8.972999572753906,14.426284790039062,25.762550354003906,,23.35562515258789,0.3422083854675293,42.317596435546875,42.60589599609375,48.044193267822266
2012-02-02,13.636762619018555,9.086000442504883,14.532588005065918,25.728286743164062,,23.40250015258789,0.3550441861152649,42.3912239074707,42.02991485595703,47.79244613647461
2012-02-03,13.773390769958496,9.383999824523926,14.811263084411621,26.22846031188965,,23.629098892211914,0.36260801553726196,42.02303695678711,41.04596710205078,48.58775329589844
2012-02-06,13.901932716369629,9.156999588012695,15.128188133239746,26.132535934448242,,23.597848892211914,0.3598574995994568,42.5184326171875,41.029964447021484,49.06264877319336
2012-02-07,14.047557830810547,9.209500312805176,15.070564270019531,25.94754981994629,,23.715057373046875,0.3607743978500366,42.64564514160156,41.62194061279297,49.400211334228516
2012-02-08,14.282769203186035,9.27400016784668,15.147065162658691,26.242176055908203,,23.95728302001953,0.37383925914764404,42.6054801940918,41.70992660522461,49.08380889892578
2012-02-09,14.776859283447266,9.24899959564209,15.187051773071289,25.94070053100586,,24.043235778808594,0.3736099600791931,42.873260498046875,42.445899963378906,48.83066940307617
2012-02-10,14.784346580505371,9.277000427246094,15.049205780029297,25.76940155029297,,23.832265853881836,0.3644416034221649,42.76613998413086,42.65388488769531,48.209373474121094
2012-02-13,15.059406280517578,9.579500198364258,15.205432891845703,26.242176055908203,,23.8947696685791,0.3701718747615814,43.00045394897461,43.077880859375,48.566036224365234
2012-02-14,15.264955520629883,9.5649995803833,15.144828796386719,25.98180389404297,,23.792526245117188,0.3722347617149353,43.1678352355957,43.565834045410156,48.709861755371094
2012-02-15,14.911689758300781,9.22350025177002,15.040511131286621,25.62550926208496,,23.635221481323242,0.37063026428222656,43.21469497680664,43.69382858276367,48.393463134765625
2012-02-16,15.04771900177002,8.996500015258789,15.06435775756836,26.036624908447266,,24.61051368713379,0.3770480453968048,43.649837493896484,43.82982635498047,49.13559341430664
2012-02-17,15.045025825500488,9.125,15.01766300201416,26.358665466308594,,24.579051971435547,0.36329567432403564,43.455711364746094,43.741825103759766,49.25638961791992
2012-02-21,15.426458358764648,9.11299991607666,15.250140190124512,26.3518009185791,,24.72848892211914,0.36512938141822815,43.12765884399414,44.253807067871094,49.80291748046875
2012-02-22,15.37221908569336,9.029000282287598,15.099624633789062,26.0845890045166,,24.594791412353516,0.36260801553726196,43.14104461669922,44.1418342590332,50.00426483154297
2012-02-23,15.472604751586914,8.944499969482422,15.054173469543457,26.372358322143555,,24.67344093322754,0.364670991897583,44.466609954833984,43.9498176574707,50.06180191040039
2012-02-24,15.652976989746094,8.956500053405762,15.148305892944336,26.22846031188965,,24.75995635986328,0.36192044615745544,44.6607551574707,44.517818450927734,50.245887756347656
2012-02-27,15.753348350524902,8.92650032043457,15.133652687072754,26.762907028198242,,24.6577091217041,0.3545856475830078,44.654052734375,44.5817985534668,50.18262481689453
2012-02-28,16.04249382019043,9.1899995803833,15.359175682067871,26.865684509277344,,25.066699981689453,0.35137689113616943,45.116004943847656,44.6697883605957,50.13084411621094
2012-02-29,16.25313377380371,8.98449993133545,15.355697631835938,26.886240005493164,,24.964452743530273,0.34725117683410645,45.26999282836914,44.5977897644043,49.76264572143555
2012-03-01,16.31395721435547,9.001999855041504,15.458772659301758,27.660476684570312,,25.397045135498047,0.34954318404197693,44.627281188964844,44.92112350463867,49.95249557495117
2012-03-02,16.33523178100586,8.96500015258789,15.430211067199707,27.8386287689209,,25.23187828063965,0.35252290964126587,44.63397979736328,44.800777435302734,49.664859771728516
2012-03-05,15.975082397460938,9.012999534606934,15.256348609924316,27.68104362487793,,25.011642456054688,0.34060385823249817,44.82142639160156,44.15894317626953,50.05604934692383
2012-03-06,15.88818073272705,9.054499626159668,15.025609970092773,26.941043853759766,,24.822879791259766,0.3373950123786926,44.74777603149414,43.693599700927734,49.394447326660156
2012-03-07,15.901067733764648,9.18850040435791,15.071310043334961,27.37271499633789,,25.043109893798828,0.3394579589366913,44.573734283447266,43.6374397277832,49.377197265625
